inf,2.175,0.990,2.100,1.880,0.866
2.175,inf,0.952,1.904,1.945,0.839
0.990,0.952,inf,1.061,0.907,1.796
2.100,1.904,1.061,inf,1.810,0.920
1.880,1.945,0.907,1.810,inf,0.889
0.866,0.839,1.796,0.920,0.889,inf
