inf,2.040,0.703,1.796,1.655,0.820
2.040,inf,0.705,1.995,1.798,0.903
0.703,0.705,inf,0.798,0.777,1.172
1.796,1.995,0.798,inf,2.357,1.063
1.655,1.798,0.777,2.357,inf,1.034
0.820,0.903,1.172,1.063,1.034,inf
